Loan_ID,Student_ID,Age,Gender,Race_Ethnicity,Major,Graduated,Disability,Military,Employment_Status,Expected_Annual_Income,Loan_Type,Principal_Balance,Interest_Rate,Monthly_Payment,Repayment_Plan,Default
S001,UCHI001,22,Female,White,Economics,Yes,No,No,Full-Time,75000,Federal,25000,4.50%,268,Standard,No
S002,UCHI002,24,Male,Black,Computer Science,Yes,No,No,Full-Time,95000,Federal,35000,5.05%,376,Standard,No
S003,UCHI003,23,Female,Asian,Mathematics,Yes,No,No,Full-Time,80000,Federal,28000,4.75%,300,Standard,No
S004,UCHI004,25,Male,Hispanic,Psychology,No,No,No,Part-Time,35000,Private,40000,6.80%,450,Standard,Yes
S005,UCHI005,21,Non-Binary,White,Physics,Yes,No,No,Full-Time,85000,Federal,30000,4.90%,322,Standard,No
S006,UCHI006,26,Female,Black,History,No,No,No,Unemployed,25000,Private,38000,7.20%,425,Standard,Yes
S007,UCHI007,23,Male,White,Engineering,Yes,No,No,Full-Time,105000,Federal,42000,5.20%,450,Standard,No
S008,UCHI008,24,Female,Asian,Medicine,Yes,No,No,Full-Time,150000,Private,65000,6.50%,735,Standard,No
S009,UCHI009,22,Male,Hispanic,English,Yes,No,No,Full-Time,45000,Federal,22000,4.25%,235,Standard,No
S010,UCHI010,25,Female,White,Chemistry,Yes,No,No,Full-Time,70000,Federal,32000,4.80%,342,Standard,No
S011,UCHI011,23,Male,Black,Business,Yes,No,No,Full-Time,88000,Federal,31000,4.65%,332,Standard,No
S012,UCHI012,26,Female,White,Philosophy,No,No,No,Part-Time,30000,Private,35000,7.00%,395,Standard,Yes
S013,UCHI013,24,Male,Asian,Biology,Yes,No,No,Full-Time,65000,Federal,28000,4.55%,300,Standard,No
S014,UCHI014,22,Female,Hispanic,Art,Yes,No,No,Full-Time,42000,Federal,20000,4.00%,214,Standard,No
S015,UCHI015,27,Male,White,Law,Yes,No,No,Full-Time,120000,Private,80000,6.25%,885,Standard,No
S016,UCHI016,23,Female,Black,Education,Yes,No,No,Full-Time,55000,Federal,26000,4.40%,278,Standard,No
S017,UCHI017,25,Male,Asian,Physics,Yes,No,No,Full-Time,92000,Federal,34000,5.10%,364,Standard,No
S018,UCHI018,24,Female,White,Mathematics,Yes,No,No,Full-Time,82000,Federal,29000,4.70%,310,Standard,No
S019,UCHI019,21,Male,Hispanic,Computer Science,Yes,No,No,Full-Time,90000,Federal,33000,4.95%,353,Standard,No
S020,UCHI020,26,Female,Black,Medicine,Yes,No,No,Full-Time,140000,Private,70000,6.60%,795,Standard,No
S021,UCHI021,22,Female,White,Psychology,Yes,No,No,Full-Time,50000,Federal,24000,4.35%,256,Standard,No
S022,UCHI022,24,Male,Asian,Engineering,Yes,No,No,Full-Time,100000,Federal,36000,5.00%,385,Standard,No
S023,UCHI023,23,Female,Hispanic,History,Yes,No,No,Part-Time,38000,Private,32000,6.90%,360,Standard,Yes
S024,UCHI024,25,Male,White,Chemistry,Yes,No,No,Full-Time,78000,Federal,27000,4.60%,289,Standard,No
S025,UCHI025,22,Female,Black,Economics,Yes,No,No,Full-Time,72000,Federal,26000,4.45%,278,Standard,No
S026,UCHI026,24,Male,White,English,Yes,No,No,Full-Time,48000,Federal,23000,4.15%,246,Standard,No
S027,UCHI027,26,Female,Asian,Medicine,Yes,No,No,Full-Time,135000,Private,68000,6.40%,765,Standard,No
S028,UCHI028,23,Male,Hispanic,Business,Yes,No,No,Full-Time,85000,Federal,30000,4.85%,321,Standard,No
S029,UCHI029,21,Female,White,Biology,Yes,No,No,Full-Time,60000,Federal,25000,4.20%,267,Standard,No
S030,UCHI030,25,Male,Black,Physics,Yes,No,No,Full-Time,88000,Federal,31000,4.90%,332,Standard,No
S031,UCHI031,24,Female,Asian,Mathematics,Yes,No,No,Full-Time,80000,Federal,28000,4.65%,300,Standard,No
